Text,Label
Cow urine cures COVID-19,0
Turmeric milk is a cure for coronavirus,0
5G radiation spreads COVID-19,0
Drinking alcohol kills coronavirus,0
Paracetamol P-500 contains Machupo virus,0
Garlic water prevents COVID,0
Taking hot baths can prevent COVID-19,0
Steam inhalation cures coronavirus,0
Eating onion cures coronavirus,0
Lemon and baking soda kill virus,0
COVID vaccine reduces death risk by 80%,1
India starts booster dose campaign,1
Covaxin safe for children confirms AIIMS,1
WHO approves Indian vaccine for emergency use,1
No link between 5G and COVID says Health Ministry,1
2 billion vaccine doses given in India,1
Covishield effective against Delta variant,1
Vaccine registration open for 15+ age group,1
Vaccinated people less likely to spread virus,1
Government launches vaccination drive in UP,1
